,se,g,l,a,p,d,v
0,8.7,1714000-35,neighborhood,VRALR,,2017-2021,8.1
1,16.4,1714000-36,neighborhood,VRALR,,2017-2021,10.8
2,36.7,1714000-37,neighborhood,VRALR,,2017-2021,24.1
3,6.7,1714000-38,neighborhood,VRALR,,2017-2021,5.8
4,8.4,1714000-39,neighborhood,VRALR,,2017-2021,8.8
5,5.6,1714000-4,neighborhood,VRALR,,2017-2021,7.1
6,16.1,1714000-40,neighborhood,VRALR,,2017-2021,13.9
7,5.2,1714000-41,neighborhood,VRALR,,2017-2021,4.8
8,8.6,1714000-42,neighborhood,VRALR,,2017-2021,10.0
9,8.1,1714000-1,neighborhood,VRALR,,2017-2021,17.6
10,10.4,1714000-11,neighborhood,VRALR,,2017-2021,15.2
11,7.2,1714000-12,neighborhood,VRALR,,2017-2021,6.9
12,6.6,1714000-13,neighborhood,VRALR,,2017-2021,5.6
13,5.5,1714000-14,neighborhood,VRALR,,2017-2021,7.8
14,6.7,1714000-15,neighborhood,VRALR,,2017-2021,14.3
15,6.6,1714000-16,neighborhood,VRALR,,2017-2021,11.8
16,7.3,1714000-17,neighborhood,VRALR,,2017-2021,11.3
17,9.8,1714000-18,neighborhood,VRALR,,2017-2021,8.8
18,6.3,1714000-19,neighborhood,VRALR,,2017-2021,15.3
19,4.2,1714000-2,neighborhood,VRALR,,2017-2021,6.3
20,7.5,1714000-20,neighborhood,VRALR,,2017-2021,7.7
21,8.4,1714000-21,neighborhood,VRALR,,2017-2021,16.1
22,6.2,1714000-22,neighborhood,VRALR,,2017-2021,12.4
23,6.4,1714000-23,neighborhood,VRALR,,2017-2021,10.8
24,5.2,1714000-24,neighborhood,VRALR,,2017-2021,10.4
25,5.0,1714000-25,neighborhood,VRALR,,2017-2021,11.7
26,13.6,1714000-26,neighborhood,VRALR,,2017-2021,16.2
27,10.8,1714000-27,neighborhood,VRALR,,2017-2021,11.0
28,6.3,1714000-28,neighborhood,VRALR,,2017-2021,10.8
29,9.3,1714000-29,neighborhood,VRALR,,2017-2021,14.8
30,6.8,1714000-3,neighborhood,VRALR,,2017-2021,14.2
31,6.4,1714000-30,neighborhood,VRALR,,2017-2021,14.6
32,9.1,1714000-31,neighborhood,VRALR,,2017-2021,14.1
33,4.5,1714000-33,neighborhood,VRALR,,2017-2021,3.0
34,5.4,1714000-34,neighborhood,VRALR,,2017-2021,3.3
35,6.1,1714000-10,neighborhood,VRALR,,2017-2021,8.5
36,4.1,1714000-8,neighborhood,VRALR,,2017-2021,6.9
37,8.9,1714000-32,neighborhood,VRALR,,2017-2021,14.4
38,6.6,1714000-43,neighborhood,VRALR,,2017-2021,11.1
39,8.3,1714000-44,neighborhood,VRALR,,2017-2021,11.5
40,8.3,1714000-45,neighborhood,VRALR,,2017-2021,6.6
41,9.7,1714000-46,neighborhood,VRALR,,2017-2021,16.1
42,14.2,1714000-47,neighborhood,VRALR,,2017-2021,7.2
43,12.8,1714000-48,neighborhood,VRALR,,2017-2021,13.5
44,6.4,1714000-49,neighborhood,VRALR,,2017-2021,9.2
45,6.1,1714000-5,neighborhood,VRALR,,2017-2021,7.3
46,9.6,1714000-50,neighborhood,VRALR,,2017-2021,5.7
47,8.3,1714000-51,neighborhood,VRALR,,2017-2021,7.5
48,6.8,1714000-52,neighborhood,VRALR,,2017-2021,5.9
49,9.4,1714000-53,neighborhood,VRALR,,2017-2021,12.5
50,16.3,1714000-54,neighborhood,VRALR,,2017-2021,11.2
51,13.5,1714000-55,neighborhood,VRALR,,2017-2021,12.0
52,6.3,1714000-56,neighborhood,VRALR,,2017-2021,8.2
53,12.7,1714000-57,neighborhood,VRALR,,2017-2021,13.9
54,7.4,1714000-58,neighborhood,VRALR,,2017-2021,13.3
55,9.8,1714000-59,neighborhood,VRALR,,2017-2021,8.6
56,3.9,1714000-6,neighborhood,VRALR,,2017-2021,6.8
57,4.7,1714000-60,neighborhood,VRALR,,2017-2021,4.0
58,9.2,1714000-61,neighborhood,VRALR,,2017-2021,19.2
59,8.7,1714000-62,neighborhood,VRALR,,2017-2021,9.1
60,8.1,1714000-63,neighborhood,VRALR,,2017-2021,12.0
61,9.2,1714000-64,neighborhood,VRALR,,2017-2021,12.2
62,6.8,1714000-65,neighborhood,VRALR,,2017-2021,8.3
63,7.4,1714000-66,neighborhood,VRALR,,2017-2021,13.9
64,8.6,1714000-67,neighborhood,VRALR,,2017-2021,12.6
65,12.2,1714000-68,neighborhood,VRALR,,2017-2021,21.7
66,6.1,1714000-69,neighborhood,VRALR,,2017-2021,5.9
67,5.5,1714000-7,neighborhood,VRALR,,2017-2021,9.8
68,6.5,1714000-70,neighborhood,VRALR,,2017-2021,8.7
69,5.3,1714000-71,neighborhood,VRALR,,2017-2021,7.9
70,6.2,1714000-72,neighborhood,VRALR,,2017-2021,4.5
71,5.6,1714000-73,neighborhood,VRALR,,2017-2021,4.9
72,10.1,1714000-74,neighborhood,VRALR,,2017-2021,11.0
73,10.3,1714000-75,neighborhood,VRALR,,2017-2021,12.5
74,10.9,1714000-76,neighborhood,VRALR,,2017-2021,9.1
75,5.2,1714000-77,neighborhood,VRALR,,2017-2021,7.8
76,12.5,1714000-9,neighborhood,VRALR,,2017-2021,10.1
77,0.9,1714000,place,VRALR,,2017-2021,10.6
0,8.0,1714000-35,neighborhood,VRALR,,2016-2020,6.7
1,8.3,1714000-36,neighborhood,VRALR,,2016-2020,4.9
2,34.6,1714000-37,neighborhood,VRALR,,2016-2020,22.6
3,5.3,1714000-38,neighborhood,VRALR,,2016-2020,4.3
4,7.4,1714000-39,neighborhood,VRALR,,2016-2020,7.1
5,6.2,1714000-4,neighborhood,VRALR,,2016-2020,7.5
6,12.7,1714000-40,neighborhood,VRALR,,2016-2020,11.8
7,3.9,1714000-41,neighborhood,VRALR,,2016-2020,3.3
8,8.6,1714000-42,neighborhood,VRALR,,2016-2020,10.0
9,6.8,1714000-1,neighborhood,VRALR,,2016-2020,12.2
10,10.5,1714000-11,neighborhood,VRALR,,2016-2020,14.3
11,7.0,1714000-12,neighborhood,VRALR,,2016-2020,6.3
12,6.2,1714000-13,neighborhood,VRALR,,2016-2020,5.3
13,5.5,1714000-14,neighborhood,VRALR,,2016-2020,7.7
14,7.1,1714000-15,neighborhood,VRALR,,2016-2020,15.7
15,6.6,1714000-16,neighborhood,VRALR,,2016-2020,11.5
16,7.7,1714000-17,neighborhood,VRALR,,2016-2020,12.5
17,11.8,1714000-18,neighborhood,VRALR,,2016-2020,10.7
18,6.2,1714000-19,neighborhood,VRALR,,2016-2020,14.9
19,3.5,1714000-2,neighborhood,VRALR,,2016-2020,4.4
20,6.8,1714000-20,neighborhood,VRALR,,2016-2020,6.0
21,9.0,1714000-21,neighborhood,VRALR,,2016-2020,16.0
22,5.9,1714000-22,neighborhood,VRALR,,2016-2020,11.1
23,6.7,1714000-23,neighborhood,VRALR,,2016-2020,11.9
24,4.7,1714000-24,neighborhood,VRALR,,2016-2020,8.8
25,4.4,1714000-25,neighborhood,VRALR,,2016-2020,9.2
26,10.2,1714000-26,neighborhood,VRALR,,2016-2020,10.4
27,9.6,1714000-27,neighborhood,VRALR,,2016-2020,10.6
28,6.1,1714000-28,neighborhood,VRALR,,2016-2020,10.0
29,8.5,1714000-29,neighborhood,VRALR,,2016-2020,12.5
30,6.8,1714000-3,neighborhood,VRALR,,2016-2020,14.0
31,6.1,1714000-30,neighborhood,VRALR,,2016-2020,14.0
32,8.3,1714000-31,neighborhood,VRALR,,2016-2020,11.6
33,7.8,1714000-33,neighborhood,VRALR,,2016-2020,7.5
34,2.9,1714000-34,neighborhood,VRALR,,2016-2020,1.4
35,6.4,1714000-10,neighborhood,VRALR,,2016-2020,9.0
36,3.9,1714000-8,neighborhood,VRALR,,2016-2020,6.1
37,9.1,1714000-32,neighborhood,VRALR,,2016-2020,14.4
38,5.2,1714000-43,neighborhood,VRALR,,2016-2020,7.0
39,8.2,1714000-44,neighborhood,VRALR,,2016-2020,10.8
40,8.1,1714000-45,neighborhood,VRALR,,2016-2020,6.3
41,8.8,1714000-46,neighborhood,VRALR,,2016-2020,13.4
42,14.0,1714000-47,neighborhood,VRALR,,2016-2020,7.2
43,14.3,1714000-48,neighborhood,VRALR,,2016-2020,14.3
44,6.2,1714000-49,neighborhood,VRALR,,2016-2020,9.0
45,7.6,1714000-5,neighborhood,VRALR,,2016-2020,8.7
46,5.1,1714000-50,neighborhood,VRALR,,2016-2020,2.4
47,8.9,1714000-51,neighborhood,VRALR,,2016-2020,8.2
48,6.9,1714000-52,neighborhood,VRALR,,2016-2020,5.9
49,8.6,1714000-53,neighborhood,VRALR,,2016-2020,10.6
50,17.8,1714000-54,neighborhood,VRALR,,2016-2020,15.0
51,12.5,1714000-55,neighborhood,VRALR,,2016-2020,10.4
52,7.8,1714000-56,neighborhood,VRALR,,2016-2020,10.7
53,11.3,1714000-57,neighborhood,VRALR,,2016-2020,10.8
54,7.4,1714000-58,neighborhood,VRALR,,2016-2020,13.2
55,9.3,1714000-59,neighborhood,VRALR,,2016-2020,7.6
56,4.1,1714000-6,neighborhood,VRALR,,2016-2020,7.3
57,5.9,1714000-60,neighborhood,VRALR,,2016-2020,5.6
58,8.3,1714000-61,neighborhood,VRALR,,2016-2020,18.5
59,7.0,1714000-62,neighborhood,VRALR,,2016-2020,7.3
60,7.9,1714000-63,neighborhood,VRALR,,2016-2020,11.5
61,9.1,1714000-64,neighborhood,VRALR,,2016-2020,11.4
62,6.6,1714000-65,neighborhood,VRALR,,2016-2020,7.7
63,6.8,1714000-66,neighborhood,VRALR,,2016-2020,11.9
64,8.0,1714000-67,neighborhood,VRALR,,2016-2020,10.8
65,9.3,1714000-68,neighborhood,VRALR,,2016-2020,14.3
66,7.3,1714000-69,neighborhood,VRALR,,2016-2020,8.3
67,6.1,1714000-7,neighborhood,VRALR,,2016-2020,11.8
68,6.4,1714000-70,neighborhood,VRALR,,2016-2020,8.0
69,4.2,1714000-71,neighborhood,VRALR,,2016-2020,5.0
70,6.3,1714000-72,neighborhood,VRALR,,2016-2020,4.7
71,5.7,1714000-73,neighborhood,VRALR,,2016-2020,5.3
72,8.1,1714000-74,neighborhood,VRALR,,2016-2020,7.4
73,9.3,1714000-75,neighborhood,VRALR,,2016-2020,12.1
74,11.9,1714000-76,neighborhood,VRALR,,2016-2020,9.0
75,5.3,1714000-77,neighborhood,VRALR,,2016-2020,8.2
76,12.6,1714000-9,neighborhood,VRALR,,2016-2020,10.3
77,0.9,1714000,place,VRALR,,2016-2020,9.9
0,1.2205159271,1714000,place,VRALR,,2020,12.0
0,9.5,1714000-35,neighborhood,VRALR,,2015-2019,8.0
1,13.0,1714000-36,neighborhood,VRALR,,2015-2019,8.2
2,26.2,1714000-37,neighborhood,VRALR,,2015-2019,17.1
3,6.5,1714000-38,neighborhood,VRALR,,2015-2019,6.6
4,5.9,1714000-39,neighborhood,VRALR,,2015-2019,5.4
5,6.3,1714000-4,neighborhood,VRALR,,2015-2019,7.7
6,14.3,1714000-40,neighborhood,VRALR,,2015-2019,15.6
7,3.3,1714000-41,neighborhood,VRALR,,2015-2019,2.3
8,8.9,1714000-42,neighborhood,VRALR,,2015-2019,10.3
9,6.3,1714000-1,neighborhood,VRALR,,2015-2019,10.2
10,10.3,1714000-11,neighborhood,VRALR,,2015-2019,13.5
11,6.2,1714000-12,neighborhood,VRALR,,2015-2019,4.9
12,7.6,1714000-13,neighborhood,VRALR,,2015-2019,6.4
13,5.8,1714000-14,neighborhood,VRALR,,2015-2019,8.5
14,6.8,1714000-15,neighborhood,VRALR,,2015-2019,14.6
15,6.2,1714000-16,neighborhood,VRALR,,2015-2019,10.9
16,7.3,1714000-17,neighborhood,VRALR,,2015-2019,11.4
17,11.2,1714000-18,neighborhood,VRALR,,2015-2019,9.6
18,5.5,1714000-19,neighborhood,VRALR,,2015-2019,11.7
19,2.7,1714000-2,neighborhood,VRALR,,2015-2019,3.1
20,5.8,1714000-20,neighborhood,VRALR,,2015-2019,4.2
21,8.9,1714000-21,neighborhood,VRALR,,2015-2019,14.9
22,5.9,1714000-22,neighborhood,VRALR,,2015-2019,10.9
23,6.0,1714000-23,neighborhood,VRALR,,2015-2019,9.3
24,5.3,1714000-24,neighborhood,VRALR,,2015-2019,11.4
25,4.5,1714000-25,neighborhood,VRALR,,2015-2019,9.6
26,8.1,1714000-26,neighborhood,VRALR,,2015-2019,7.9
27,9.2,1714000-27,neighborhood,VRALR,,2015-2019,9.7
28,6.0,1714000-28,neighborhood,VRALR,,2015-2019,9.6
29,8.2,1714000-29,neighborhood,VRALR,,2015-2019,11.5
30,6.3,1714000-3,neighborhood,VRALR,,2015-2019,12.4
31,6.2,1714000-30,neighborhood,VRALR,,2015-2019,14.6
32,7.1,1714000-31,neighborhood,VRALR,,2015-2019,8.8
33,8.3,1714000-33,neighborhood,VRALR,,2015-2019,8.3
34,2.9,1714000-34,neighborhood,VRALR,,2015-2019,1.4
35,5.3,1714000-10,neighborhood,VRALR,,2015-2019,6.6
36,3.7,1714000-8,neighborhood,VRALR,,2015-2019,5.5
37,7.8,1714000-32,neighborhood,VRALR,,2015-2019,12.1
38,4.8,1714000-43,neighborhood,VRALR,,2015-2019,5.9
39,8.1,1714000-44,neighborhood,VRALR,,2015-2019,10.7
40,9.1,1714000-45,neighborhood,VRALR,,2015-2019,7.6
41,7.2,1714000-46,neighborhood,VRALR,,2015-2019,11.2
42,14.0,1714000-47,neighborhood,VRALR,,2015-2019,7.2
43,13.5,1714000-48,neighborhood,VRALR,,2015-2019,12.3
44,5.8,1714000-49,neighborhood,VRALR,,2015-2019,7.6
45,6.3,1714000-5,neighborhood,VRALR,,2015-2019,6.0
46,5.1,1714000-50,neighborhood,VRALR,,2015-2019,2.4
47,10.5,1714000-51,neighborhood,VRALR,,2015-2019,11.6
48,6.2,1714000-52,neighborhood,VRALR,,2015-2019,6.0
49,7.8,1714000-53,neighborhood,VRALR,,2015-2019,9.1
50,17.8,1714000-54,neighborhood,VRALR,,2015-2019,15.0
51,12.8,1714000-55,neighborhood,VRALR,,2015-2019,10.8
52,7.8,1714000-56,neighborhood,VRALR,,2015-2019,10.8
53,12.1,1714000-57,neighborhood,VRALR,,2015-2019,12.3
54,7.3,1714000-58,neighborhood,VRALR,,2015-2019,11.5
55,8.3,1714000-59,neighborhood,VRALR,,2015-2019,7.5
56,4.1,1714000-6,neighborhood,VRALR,,2015-2019,7.0
57,6.5,1714000-60,neighborhood,VRALR,,2015-2019,6.7
58,7.5,1714000-61,neighborhood,VRALR,,2015-2019,14.6
59,8.5,1714000-62,neighborhood,VRALR,,2015-2019,7.1
60,7.9,1714000-63,neighborhood,VRALR,,2015-2019,11.5
61,8.6,1714000-64,neighborhood,VRALR,,2015-2019,12.1
62,6.4,1714000-65,neighborhood,VRALR,,2015-2019,7.1
63,6.0,1714000-66,neighborhood,VRALR,,2015-2019,9.6
64,7.7,1714000-67,neighborhood,VRALR,,2015-2019,10.3
65,7.1,1714000-68,neighborhood,VRALR,,2015-2019,8.3
