ZCTA5,CHGOCA,TOT2010
60007,76,0
60018,76,1
60068,09,0
60106,76,0
60131,76,0
60176,76,0
60601,32,11110
60602,32,1204
60603,32,493
60604,32,570
60605,32,13355
60605,33,11313
60606,28,1783
60606,32,525
60607,28,21873
60607,32,2024
60608,28,7667
60608,29,2283
60608,30,16654
60608,31,34380
60608,59,6594
60608,60,15161
60609,34,906
60609,35,386
60609,37,2876
60609,38,812
60609,40,57
60609,58,246
60609,59,8843
60609,60,5115
60609,61,44377
60609,63,1288
60610,07,257
60610,08,37462
60610,24,7
60611,08,28718
60612,23,1157
60612,24,4951
60612,27,10111
60612,28,15619
60612,29,1634
60613,03,13161
60613,05,3944
60613,06,31176
60614,05,301
60614,06,1717
60614,07,63545
60614,22,1054
60615,38,8366
60615,39,11820
60615,40,3269
60615,41,17148
60616,28,147
60616,31,1389
60616,33,10077
60616,34,12485
60616,35,12634
60616,60,11701
60617,45,3644
60617,46,30539
60617,48,11116
60617,51,15078
60617,52,23042
60617,55,736
60618,04,90
60618,05,23101
60618,14,1299
60618,16,32502
60618,21,34445
60618,22,647
60619,43,3691
60619,44,27724
60619,45,6541
60619,47,2916
60619,48,2696
60619,49,3101
60619,50,47
60619,69,17109
60620,44,3304
60620,49,3392
60620,68,328
60620,69,2847
60620,70,1085
60620,71,48743
60620,72,4
60620,73,12513
60621,40,469
60621,68,29777
60621,69,5666
60622,22,1936
60622,23,416
60622,24,50196
60623,29,29474
60623,30,62634
60624,23,7127
60624,25,0
60624,26,18001
60624,27,10456
60624,29,2521
60625,04,33115
60625,13,6101
60625,14,39435
60626,01,48980
60626,02,1159
60628,49,38126
60628,50,7278
60628,53,22290
60628,54,0
60628,73,4463
60628,75,45
60629,56,0
60629,62,10866
60629,63,16628
60629,64,2927
60629,65,32388
60629,66,51103
60629,70,4
60630,10,292
60630,11,20721
60630,12,3515
60630,13,766
60630,14,10765
60630,15,14234
60630,16,3800
60631,09,11187
60631,10,16534
60631,76,479
60632,30,0
60632,56,3752
60632,57,13393
60632,58,45122
60632,59,175
60632,62,7243
60632,63,21641
60633,50,0
60633,51,31
60633,55,8690
60634,15,16720
60634,17,40513
60634,18,5455
60634,19,11550
60634,76,60
60636,63,337
60636,66,4525
60636,67,35505
60636,68,549
60637,40,7922
60637,41,8533
60637,42,23739
60637,43,2329
60637,69,6980
60638,56,30761
60638,64,20212
60639,19,52039
60639,20,19992
60639,21,0
60639,22,144
60639,23,3845
60639,25,14387
60640,03,43201
60640,04,5911
60640,77,16678
60641,14,43
60641,15,33165
60641,16,17057
60641,19,13826
60641,20,4283
60641,21,3289
60642,07,0
60642,08,268
60642,22,1
60642,24,18211
60643,53,7360
60643,72,15976
60643,73,9517
60643,75,17099
60644,25,48648
60645,01,5820
60645,02,39454
60646,10,5491
60646,11,4727
60646,12,14990
60646,13,1948
60647,07,314
60647,20,735
60647,21,1528
60647,22,69813
60647,23,7671
60647,24,7230
60649,42,2244
60649,43,43747
60649,46,659
60651,23,36107
60651,24,0
60651,25,28160
60652,65,967
60652,70,39992
60653,35,5218
60653,36,5918
60653,38,12751
60653,39,6021
60654,08,14036
60654,24,837
60654,28,0
60654,32,2
60655,72,4054
60655,74,19093
60655,75,5400
60656,10,14706
60656,76,12159
60657,05,4521
60657,06,61475
60657,07,0
60659,02,28611
60659,04,377
60659,12,0
60659,13,9116
60660,01,191
60660,02,2718
60660,04,0
60660,77,39843
60661,24,0
60661,28,7792
60706,15,5
60706,76,57
60707,17,1419
60707,18,7971
60707,19,1328
60707,25,7319
60714,12,3
60804,25,0
60804,56,0
60827,53,1
60827,54,6482